trial_id,testbed,group,attack_id,template_id,attacker_goal_selected,monitor_decision,relation_decision,gateway_decision,service_effect,reject_reason,statement_digest,evidence_class
cloud-A1-095,cloud,G1,A1,cloud-A1-template-19,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,693a2b095546bba1cbff0d3fd921c5be5b471869d5689c30c6e63e48ccde3ea0,executed_reference_runtime
cloud-A1-096,cloud,G1,A1,cloud-A1-template-20,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,a81e6f94c84f381b6314aed432f489e4d90d3f9ae40488adc27f4e6678e4738b,executed_reference_runtime
cloud-A1-097,cloud,G1,A1,cloud-A1-template-21,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,e26462b9a71be99dc12202d7764b745c65678cf51694099c3a7aa60921b2c721,executed_reference_runtime
cloud-A1-098,cloud,G1,A1,cloud-A1-template-22,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,54c2a223523a4d71714f060eb670c0108a913ee413e6fb030de924382ae82bc3,executed_reference_runtime
cloud-A1-099,cloud,G1,A1,cloud-A1-template-23,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,7fd5bfd6a660359d9c4d18bea94a62d9a228d4833f8de71fda6248d24386158c,executed_reference_runtime
cloud-A1-100,cloud,G1,A1,cloud-A1-template-24,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,c2c4bb94c160d215e7d6f208d030c8b3c3d0e6b939575a04068e373bb1bd0db0,executed_reference_runtime
cloud-A1-101,cloud,G1,A1,cloud-A1-template-00,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,97be9724747ad5214833a40ebafb39f3d5cd38d15cfccc472fbdc24e578729ee,executed_reference_runtime
cloud-A1-102,cloud,G1,A1,cloud-A1-template-01,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,a08cfed51ba7a11421c743d0ee2d2c2a1499ca30b0f64c7481993ea2c8995deb,executed_reference_runtime
cloud-A1-103,cloud,G1,A1,cloud-A1-template-02,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,041cf5d39a7ec82e37c9a0a50d93ad364f6a4f9023c86f3c137f0cdb7a543d65,executed_reference_runtime
cloud-A1-104,cloud,G1,A1,cloud-A1-template-03,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,4fa92940a8ccd3d2b7ce3ad97f50bacd336a72cc1267c45a82f21df13d332bf0,executed_reference_runtime
cloud-A1-105,cloud,G1,A1,cloud-A1-template-04,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,bc3c2b5150387c509b0fbebdf6fe558a057af968585eb3d51c3e64ffb343ae86,executed_reference_runtime
cloud-A1-106,cloud,G1,A1,cloud-A1-template-05,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,e0e9114ffdefe969cbfc2c1511cb822a49ea0716e263d69cd857be8b44815f16,executed_reference_runtime
cloud-A1-107,cloud,G1,A1,cloud-A1-template-06,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,0b9fe2371624aeb6e571807eef28c3309bfaa78d83afe2c4ed8e5ce98963d676,executed_reference_runtime
cloud-A1-108,cloud,G1,A1,cloud-A1-template-07,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,9bb378ebea0e20d8fe27689258b638495d25295e18f608921fd2661292267d3a,executed_reference_runtime
cloud-A1-109,cloud,G1,A1,cloud-A1-template-08,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,79bbbf1c95a8819eb8d6126f60b3f53f08d65bc791dac5112266eebc0336bce4,executed_reference_runtime
cloud-A1-110,cloud,G1,A1,cloud-A1-template-09,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,e783e1bc1cba3a1f704575c8676d8174064a5e5e839345af7a32de813e33391c,executed_reference_runtime
cloud-A1-111,cloud,G1,A1,cloud-A1-template-10,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,95738c664d620e72dda37c72adf628aa75c148b7857da81d7477ac82529b7896,executed_reference_runtime
cloud-A1-112,cloud,G1,A1,cloud-A1-template-11,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,47e71c555d85ac73216ffd2a4c3b688898fa8c80336f2b107b0a212f515cd6e1,executed_reference_runtime
cloud-A1-113,cloud,G1,A1,cloud-A1-template-12,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,e77a910fd3c0221beeb69af7caf908db4e5a94c94f8584002b7b7c91dda6702c,executed_reference_runtime
cloud-A1-114,cloud,G1,A1,cloud-A1-template-13,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,2c7f5b7b8705462a961f623ec16c39776f26257a39328305a5112bcdf27fc413,executed_reference_runtime
cloud-A1-115,cloud,G1,A1,cloud-A1-template-14,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,b51d9b28b9224fbc6a7c046708d9e04e56c7c22ca65d5828c7b1e488dd9c65ff,executed_reference_runtime
cloud-A1-116,cloud,G1,A1,cloud-A1-template-15,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,20ae28bbbf5e26e902194a09131df05a0418405a0d498e149fbdec5efa74f960,executed_reference_runtime
cloud-A1-117,cloud,G1,A1,cloud-A1-template-16,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,e6e24eccab62e6ba1962ecb45e1cc723739115c0a0492407bc8484f7758c7a21,executed_reference_runtime
cloud-A1-118,cloud,G1,A1,cloud-A1-template-17,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,e6eec6b2386b96ad263408c0d59c2fc64c8ee5b93b974e86eabc77232e72145d,executed_reference_runtime
cloud-A1-119,cloud,G1,A1,cloud-A1-template-18,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,b7923b37e47021873fe24e78bd288ad9e2c9793627bbdedde4571cd69bdbd475,executed_reference_runtime
